period radius
64.0345 5.0578
4.6450 1.5481
12.5722 1.0462
12.5610 2.6352
30.8263 3.0604
3.4280 1.1603
7.3820 3.2886
2.9424 1.6770
6.2765 0.7575
3.7970 10.2495
18.6493 3.3955
38.5576 4.3834
9.7519 3.0128
3.5256 11.1340
14.6240 25.0865
3.6069 2.0578
1.4991 1.0403
3.2957 2.6768
5.3159 2.2194
9.6535 2.2928
0.9917 1.2679
40.8365 1.4207
230.1811 7.4447
13.5225 2.0904
16.2385 2.6242
17.2654 1.0901
7.0568 1.5794
78.7322 3.7318
1.8092 1.4034
25.8861 1.6080
6.3092 1.7920
4.0446 0.7287
17.3267 2.4109
44.8411 2.9721
4.6462 1.9706
7.2402 2.3192
21.3683 1.7014
0.7090 1.2803
13.2493 2.8334
10.9159 3.8178
4.8205 0.8855
11.7631 2.3921
56.2280 2.4059
2.6528 1.4067
40.6069 2.2497
2.4314 1.3111
19.1789 2.9800
1.2426 1.2010
17.2360 1.4254
8.5291 1.4948
0.6793 1.3508
6.8834 2.6410
16.7365 2.7347
52.0688 2.9410
4.1445 1.4562
7.9535 2.2082
5.1695 2.1421
4.1396 1.5968
5.9322 2.0650
10.4749 10.2455
8.4964 2.5032
11.0182 3.1856
136.2054 2.4982
5.0609 0.9930
3.5175 1.5396
14.8008 3.9131
5.2542 2.2075
15.1872 1.9102
25.9618 2.6902
75.8579 3.0770
1.5382 1.2625
5.3861 1.1458
31.1920 1.9283
4.1470 7.8688
14.2823 2.0894
6.3628 1.7617
2.7906 1.1747
4.4490 0.6546
13.7671 2.1530
3.2506 1.1471
6.1955 1.3182
8.3482 1.3918
87.0910 2.8397
16.0920 2.0988
25.5169 0.8175
9.4882 0.7196
59.7711 3.3089
8.7800 2.9892
19.0232 2.2564
4.5795 1.4969
12.5511 1.5621
24.0885 1.3478
3.7018 1.5562
86.4949 2.9214
36.2578 2.6311
1.2813 4.1538
33.3586 3.8605
3.2618 11.7426
42.8965 1.9422
4.7780 1.7946
9.6739 2.5590
47.9871 2.8380
63.0383 2.7649
0.5242 1.2716
15.6556 2.1182
3.8482 1.6771
5.6758 1.3160
16.7525 1.2588
5.3391 1.9852
0.9091 0.7557
